Price,Close,High,Low,Open,Volume
Ticker,TMO,TMO,TMO,TMO,TMO
Date,,,,,
2000-01-03,12.240796089172363,12.393806040287018,11.985779503981272,12.240796089172363,432200
2000-01-04,11.78176498413086,12.189791477087773,11.679758360891633,12.138788165468158,568400
2000-01-05,11.88377571105957,12.036785698755617,11.67976239413151,12.036785698755617,490800
2000-01-06,11.88377571105957,11.88377571105957,11.67976239413151,11.730765723363524,561900
2000-01-07,12.036782264709473,12.036782264709473,11.679759061942667,11.781765691304612,266600
2000-01-10,11.934774398803711,12.036781017596905,11.832767780010517,11.883771089407114,470000
2000-01-11,12.036782264709473,12.18979220875239,11.832769005985583,11.832769005985583,277900
2000-01-12,11.730765342712402,12.087788635751476,11.424745377250341,12.036785308174466,432300
2000-01-13,12.138787269592285,12.189790577447715,11.628754191037986,11.628754191037986,477500
2000-01-14,11.934774398803711,12.189790945786697,11.883771089407114,12.189790945786697,274400
2000-01-18,11.78176498413086,12.03678154222893,11.679758360891633,12.03678154222893,520300
2000-01-19,11.62875747680664,11.88377408814012,11.577754154539946,11.679760799073337,660200
2000-01-20,11.832769393920898,11.934776026627112,11.679759444861576,11.679759444861576,556000
2000-01-21,11.78176498413086,12.03678154222893,11.730761672511246,11.832768295750475,1097200
2000-01-24,11.934774398803711,12.087784326993503,11.78176447061392,11.832767780010517,658900
2000-01-25,12.036782264709473,12.546815411519196,11.832769005985583,11.883772320666555,878400
2000-01-26,12.699828147888184,13.158858080944384,11.985781585356317,12.036784911251452,1525400
2000-01-27,13.464876174926758,13.872902725682115,13.209859580704661,13.26086289954908,1427900
2000-01-28,13.260863304138184,13.413873265339777,12.852836740933931,13.15885666333712,723000
2000-01-31,14.127918243408203,14.535944763073422,13.311865204077765,13.362868519035917,1685700
2000-02-01,14.433940887451172,14.484944212141812,13.92390764054477,14.484944212141812,1874500
2000-02-02,14.17892074584961,14.331930681955901,14.02591080974332,14.28092736992047,750500
2000-02-03,14.331934928894043,14.382938256043133,14.178924947446777,14.229928274595865,629100
2000-02-04,14.2299222946167,14.48493882319406,14.2299222946167,14.280925600332171,841400
2000-02-07,14.2299222946167,14.586945434625004,14.178918988901227,14.178918988901227,778700
2000-02-08,13.770893096923828,14.382932790120444,13.668886481391059,14.280926174587675,684200
2000-02-09,13.515881538391113,13.719894844630979,13.26086490559128,13.668891518071012,482700
