Price,Close,High,Low,Open,Volume
Ticker,LOW,LOW,LOW,LOW,LOW
Date,,,,,
2000-01-03,9.818286895751953,10.467702733027027,9.686202318679056,10.357632252132946,8093600
2000-01-04,9.289955139160156,9.697216205687319,9.047799910414275,9.686209149835234,7822000
2000-01-05,9.278942108154297,9.499083083436723,9.113836376692475,9.267935059390174,4921200
2000-01-06,9.256932258605957,9.510094496356178,9.135854666638458,9.157868774268913,4519600
2000-01-07,9.466063499450684,9.587141055839005,9.289950690158578,9.322971841900847,3668400
2000-01-10,9.752243995666504,9.774258090464848,9.4770678106872,9.510088952884717,4485600
2000-01-11,9.444047927856445,9.818287589333274,9.411026781255549,9.620160709727894,4191600
2000-01-12,9.32906436920166,9.54934924214621,9.119793739904338,9.483263780262845,9044400
2000-01-13,9.229936599731445,9.340079041255688,9.1638511348169,9.340079041255688,5228000
2000-01-14,9.538329124450684,9.670499966821826,9.318044387165449,9.340072860893972,9078800
2000-01-18,9.384130477905273,9.64847218150824,9.318045052004532,9.64847218150824,4621200
2000-01-19,9.318046569824219,9.461231682599296,9.296018090935746,9.428188964266585,4502800
2000-01-20,8.943560600280762,9.329058902017001,8.63516195889177,9.318044664824537,11997200
2000-01-21,8.348793029785156,8.932547687540582,8.22763640270384,8.921533448715008,15600000
2000-01-24,8.238649368286133,8.613133430480957,8.139521234175739,8.37082021376666,8660000
2000-01-25,8.106483459472656,8.315754092257956,7.930255558179772,8.28271136076554,9133600
2000-01-26,8.216623306274414,8.28270874841603,7.798082172710838,8.062423941277306,10991600
2000-01-27,8.073439598083496,8.27169595929155,7.941268690611461,8.238653232423541,9506800
2000-01-28,7.8531575202941895,8.05141395138156,7.632872596863777,8.040399705210039,6953200
2000-01-31,7.864168167114258,7.985324819548792,7.588812138853955,7.875182408244671,9974000
2000-02-01,8.293720245361328,8.370819902356718,7.908221960384374,7.908221960384374,11792000
2000-02-02,8.326767921447754,8.525024300529843,8.073440325953973,8.21662548862437,10628400
2000-02-03,8.304737091064453,8.502993414193313,8.194594689326198,8.370822532107407,5974400
2000-02-04,8.525020599365234,8.602120268868537,8.293721590855325,8.293721590855325,10000800
2000-02-07,8.27169418334961,8.392850822519843,8.227637223651342,8.392850822519843,7067600
2000-02-08,8.536035537719727,8.591106734737274,7.963295088737242,8.282708031439013,6735200
2000-02-09,8.172563552856445,8.536033360463268,8.117492369885715,8.536033360463268,4956800
2000-02-10,8.117499351501465,8.161556335770129,7.963299906561138,8.150542089702963,3794000
2000-02-11,8.106483459472656,8.28271136076554,8.09546921564185,8.128511947134266,3338400
2000-02-14,8.249665260314941,8.337779174977852,8.04039471299053,8.117494388320576,4036000
2000-02-15,8.106483459472656,8.238654385442318,8.040397996487824,8.205611653949903,5540000
2000-02-16,7.7099690437316895,8.051410529954094,7.654897836276463,8.018367805480958,6445200
2000-02-17,7.489679336547852,7.963291412241319,7.258380415860345,7.963291412241319,11126000
2000-02-18,7.665914535522461,7.831128210856996,7.489686615165622,7.5007008601879255,11527600
2000-02-22,7.588813304901123,7.963297560875924,7.445628148204875,7.776055432888524,10011600
2000-02-23,7.500696659088135,7.599824808767713,7.225340687755971,7.533739375647994,9288000
2000-02-24,7.1812849044799805,7.676925733776912,7.181284904479981,7.676925733776912,7248000
2000-02-25,7.357513904571533,7.555770267269568,7.291428450338855,7.48968481303689,7198400
2000-02-28,8.051406860351562,8.150534988591184,7.357509962674205,7.467652327384896,10382800
2000-02-29,8.425895690917969,8.447924176384422,8.150539622587317,8.39285296271829,9700400
2000-03-01,8.425895690917969,8.558066603716682,8.040397195255055,8.547052360983457,10024800
2000-03-02,8.106483459472656,8.315754092257956,8.062426484149436,8.26068287310393,5877600
2000-03-03,8.282711029052734,8.359810732780618,8.172568595155756,8.194597081935152,7844000
2000-03-06,7.9302473068237305,8.370816601647272,7.842133447859023,8.370816601647272,6225600
2000-03-07,7.335485458374023,8.029382731463459,7.236357276504104,8.018368489033467,13660400
2000-03-08,7.731998920440674,7.897212572586842,7.390557372671926,7.478671320483215,8307200
2000-03-09,8.183577537536621,8.282705663832488,7.632865724781801,7.731993851077669,6045200
2000-03-10,7.9302473068237305,8.30473120742374,7.930247306823731,8.172560418976678,3272400
2000-03-13,7.665914535522461,7.820113965834694,7.577800575344042,7.577800575344042,5082000
